GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,0.0,0,,
DEVICES01,Total density per 100 000 population: Health posts,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-posts,2013,2013,2013,AFR,Africa,UGA,Uganda,,,,9.59316,9.59,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),68.37,68.37,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,56.94,56.94,,
DEVICES04,Total density per 100 000 population: Provincial hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-provincial-hospitals,2013,2013,2013,AFR,Africa,UGA,Uganda,,,,0.03726,0.04,,
DEVICES00,Total density per 100 000 population: Hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-hospitals,2013,2013,2013,AFR,Africa,UGA,Uganda,,,,0.40448,0.40,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),31.63,31.63,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,41.2,41.2,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,1.6,1.6,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,39.15,39.15,,
DEVICES02,Total density per 100 000 population: Health centres,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-centres,2013,2013,2013,AFR,Africa,UGA,Uganda,,,,3.91709,3.92,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,40.87,40.87,,
DEVICES05,Total density per 100 000 population: Specialized hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-specialized-hospitals,2010,2010,2010,AFR,Africa,UGA,Uganda,,,,0.01,0.01,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),56.53,56.53,,
