GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2016,2016,2016,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,15.0,15.0 [12.2-18.2],12.2,18.2
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-malnutrition-%28weight-for-height-2-or--2-standard-deviation-from-the-median-of-the-who-child-growth-standards%29-among-children-under-5-years-of-age-by-type-%28wasting-and-overweight%29-%28sdg-2.2.2%29,1988,1988,1988,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,3.3,3.3 [2.0-5.5],2.0,5.5
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-wasting-among-children-under-five-years-of-age-%28-weight-for-height--2-sd-%29-%28sdg-2.2.2%29,2011,2011,2011,AFR,Africa,UGA,Uganda,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_HIGHER,Higher education,3.0,3.0 [1.1-8.2],1.1,8.2
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-malnutrition-%28weight-for-height-2-or--2-standard-deviation-from-the-median-of-the-who-child-growth-standards%29-among-children-under-5-years-of-age-by-type-%28wasting-and-overweight%29-%28sdg-2.2.2%29,1988,1988,1988,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,4.8,4.8 [3.2-7.2],3.2,7.2
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2018,2018,2018,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,2.4,2.4 [0.6-8.5],0.6,8.5
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2000,2000,2000,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,0.35039,0.4 [0.2-0.6],0.17552,0.61009
NUT_BF_EVBF,Ever breastfed,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ever-breastfed,2000,2000,2000,AFR,Africa,UGA,Uganda,EDUCATIONLEVEL,EDUCATIONLEVEL_TOTL,Total,98.7,98.7 [98.1-99.1],98.1,99.1
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2020,2020,2020,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS36-59,36 to 59 months,21.4,21.4 [17.5-25.8],17.5,25.8
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2018,2018,2018,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,6.81361,6.8 [5.1-8.7],5.14876,8.72805
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-wasting-among-children-under-five-years-of-age-%28-weight-for-height--2-sd-%29-%28sdg-2.2.2%29,2012,2012,2012,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,10.8,10.8 [2.3-38.4],2.3,38.4
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-wasting-among-children-under-five-years-of-age-%28-weight-for-height--2-sd-%29-%28sdg-2.2.2%29,2012,2012,2012,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,10.1,10.1 [3.9-23.6],3.9,23.6
NUT_BF_EBF2D,Exclusively breastfed for the first two days after birth,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/exclusively-breastfed-for-the-first-two-days-after-birth,2011,2011,2011,AFR,Africa,UGA,Uganda,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP60,Wealth - Top 60%,52.9,52.9 [49.4-56.4],49.4,56.4
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2008,2008,2008,AFR,Africa,UGA,Uganda,SEVERITY,SEVERITY_MODERATE,Moderate,35.7,35.7 [29.6-41.0],29.6,41.0
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2003,2003,2003,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,0.58831,0.6 [0.1-1.7],0.11778,1.65328
NUT_BF_EIBF,"Early Initiation of Breastfeeding, Children born in the last 24 months",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/early-initiation-of-breastfeeding--children-born-in-the-last-24-months,2011,2011,2011,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,53.8,53.8 [50.1-57.5],50.1,57.5
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2020,2020,2020,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,10.8,10.8 [6.4-17.6],6.4,17.6
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2000,2000,2000,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,18.6,18.6 [13.5-25.2],13.5,25.2
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-malnutrition-%28weight-for-height-2-or--2-standard-deviation-from-the-median-of-the-who-child-growth-standards%29-among-children-under-5-years-of-age-by-type-%28wasting-and-overweight%29-%28sdg-2.2.2%29,2020,2020,2020,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS0-23,0 to 23 months,4.1,4.1 [2.2-7.5],2.2,7.5
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2016,2016,2016,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,8.4,8.4 [5.2-13.2],5.2,13.2
NUT_BF_EVBF,Ever breastfed,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ever-breastfed,1995,1995,1995,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,98.5,98.5,,
